specimen_id,document_type,quality_profile,field_name,ground_truth_value,extracted_value,normalized_gt,normalized_pred,exact_match,normalized_match,cer,edit_distance,confidence,latency_ms
DOC-00DFAED9_clean,student_id,clean,studentName,aryan bhat,Aryan Bhat,aryan bhat,aryan bhat,False,True,0.2,0,100,8897
DOC-00DFAED9_clean,student_id,clean,rollNumber,2019CE000744,2019CE000744,2019ce000744,2019ce000744,True,True,0.0,0,100,8897
DOC-00DFAED9_clean,student_id,clean,enrollmentNumber,EN201900744,[OBJECTOBJECT],en201900744,[objectobject],False,False,1.2727,14,100,8897
DOC-00DFAED9_clean,student_id,clean,degreeName,Bachelor of Technology in Civil Engineering,[object Object],bachelor of technology in civil engineering,[object object],False,False,0.8837,38,100,8897
DOC-00DFAED9_clean,student_id,clean,branchName,civil engineering,Civil Engineering,civil engineering,civil engineering,False,True,0.1176,0,100,8897
DOC-00DFAED9_clean,student_id,clean,batchYears,2019 - 2023,2019 - 2023,2019 - 2023,2019 - 2023,True,True,0.0,0,100,8897
DOC-00DFAED9_clean,student_id,clean,fatherName,prashant bhat,,prashant bhat,,False,False,1.0,13,100,8897
DOC-00DFAED9_clean,student_id,clean,motherName,meera bhat,,meera bhat,,False,False,1.0,10,100,8897
DOC-00DFAED9_clean,student_id,clean,dateOfBirth,2004-10-04,,2004-10-04,,False,False,1.0,10,100,8897
DOC-00DFAED9_clean,student_id,clean,email,aryan.bhat744@vtu.edu.in,,aryan.bhat744@vtu.edu.in,,False,False,1.0,24,100,8897
DOC-00DFAED9_clean,student_id,clean,phone,+91 9862200179,,+91 9862200179,,False,False,1.0,14,100,8897
DOC-00DFAED9_clean,student_id,clean,bloodGroup,ab+,,ab+,,False,False,1.0,3,100,8897
DOC-00DFAED9_clean,student_id,clean,universityName,Vivekananda Technical University,[object Object],vivekananda technical university,[object object],False,False,0.8438,27,100,8897
DOC-00DFAED9_clean,student_id,clean,universityCode,Vivekananda Technical University,[object Object],vivekananda technical university,[object object],False,False,0.8438,27,100,8897
DOC-00DFAED9_clean,student_id,clean,universityTagline,Excellence in Engineering and Research,,excellence in engineering and research,,False,False,1.0,38,100,8897
DOC-00DFAED9_clean,student_id,clean,cgpa,6.8,0,6.8,0,False,False,1.0,3,100,8897
DOC-00DFAED9_clean,student_id,clean,issueDate,2023-07-24,[object object],2023-07-24,[object object],False,False,1.5,15,100,8897
DOC-00DFAED9_clean,student_id,clean,documentType,student_id,,student_id,,False,False,1.0,10,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[0].code,MA101,,ma101,,False,False,1.0,5,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[0].grade,B,,b,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[0].credits,4,,4,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[1].code,PH101,,ph101,,False,False,1.0,5,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[1].grade,B,,b,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[1].credits,3,,3,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[2].code,CE304,,ce304,,False,False,1.0,5,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[2].grade,A,,a,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[2].credits,3,,3,,False,False,1.0,1,100,8897
DOC-00DFAED9_clean,student_id,clean,subject[3].code,CE303,,ce303,,False,False,1.0,5,100,8897
